expense_id,date,amount,category,payment_method
1,2022-09-18,1442.71,Groceries,Debit Card
2,2022-01-30,5265.87,Charity,Credit Card
3,2023-04-02,913.81,Clothing,Debit Card
4,2022-10-16,5396.0,Living Expenses,Credit Card
5,2022-07-24,3086.98,Utilities,Debit Card
6,2023-09-16,6917.71,Utilities,Mobile Payment
7,2023-07-28,2551.31,Groceries,Debit Card
8,2023-09-15,5114.03,Clothing,Credit Card
9,2023-03-20,2864.37,Medical,Cash
10,2022-03-07,7754.1,Medical,Cash
11,2023-04-22,5477.59,Transportation,Debit Card
12,2022-02-22,7956.45,Dine Out,Mobile Payment
13,2022-09-20,247.79,Transportation,Debit Card
14,2022-07-13,6845.79,Clothing,Mobile Payment
15,2022-01-29,5896.81,Utilities,Cash
16,2023-10-05,4945.45,Living Expenses,Debit Card
17,2023-01-01,9774.45,Clothing,Credit Card
18,2023-02-22,7660.82,Living Expenses,Credit Card
19,2022-09-02,6849.39,Living Expenses,Debit Card
20,2023-05-06,3969.67,Groceries,Cash
21,2023-07-25,8109.89,Groceries,Credit Card
22,2022-05-14,3019.27,Transportation,Debit Card
23,2023-04-08,7380.93,Entertainment,Credit Card
24,2023-02-25,4551.21,Medical,Mobile Payment
25,2022-01-03,5721.25,Groceries,Credit Card
26,2022-09-11,3798.53,Medical,Mobile Payment
27,2023-08-10,672.08,Groceries,Debit Card
28,2022-07-06,2439.51,Utilities,Cash
29,2023-02-09,3628.08,Entertainment,Credit Card
30,2022-10-20,4809.54,Transportation,Cash
31,2023-12-26,408.65,Living Expenses,Debit Card
32,2022-03-17,8292.22,Clothing,Cash
33,2023-10-25,9666.82,Medical,Credit Card
34,2023-09-02,7597.88,Medical,Credit Card
35,2022-09-06,6662.05,Charity,Mobile Payment
36,2022-05-21,1271.85,Dine Out,Mobile Payment
37,2023-04-11,8971.03,Utilities,Debit Card
38,2022-09-29,4492.81,Living Expenses,Mobile Payment
39,2023-09-23,1072.18,Dine Out,Mobile Payment
40,2022-03-02,9204.48,Dine Out,Mobile Payment
41,2023-03-02,4416.55,Living Expenses,Mobile Payment
42,2022-09-24,9329.12,Living Expenses,Cash
43,2022-06-07,2729.8,Clothing,Cash
44,2023-06-05,2555.44,Entertainment,Cash
45,2022-03-09,2767.67,Entertainment,Credit Card
46,2022-01-28,3813.53,Transportation,Mobile Payment
47,2023-06-18,8798.11,Utilities,Debit Card
48,2022-03-31,1816.59,Transportation,Mobile Payment
49,2023-07-07,8222.83,Transportation,Debit Card
50,2022-01-20,4153.96,Clothing,Credit Card
51,2023-06-07,9333.54,Charity,Mobile Payment
52,2022-11-05,2208.72,Clothing,Cash
53,2022-02-09,9062.01,Medical,Debit Card
54,2022-03-03,5814.95,Dine Out,Mobile Payment
55,2022-11-29,9597.79,Clothing,Debit Card
56,2022-03-13,9133.79,Living Expenses,Credit Card
57,2022-04-01,918.52,Charity,Mobile Payment
58,2022-08-23,3044.81,Utilities,Debit Card
59,2022-12-19,8725.57,Clothing,Credit Card
60,2022-07-16,5172.23,Transportation,Credit Card
61,2023-11-20,3812.42,Transportation,Cash
62,2022-11-16,5511.82,Groceries,Cash
63,2022-04-15,4531.52,Transportation,Debit Card
64,2022-06-13,7121.52,Clothing,Mobile Payment
65,2022-04-13,3554.89,Transportation,Debit Card
66,2023-10-07,5827.64,Dine Out,Mobile Payment
67,2022-10-25,7181.4,Medical,Debit Card
68,2023-09-29,7143.33,Medical,Cash
69,2023-12-11,9532.53,Clothing,Debit Card
70,2023-01-12,2378.34,Dine Out,Credit Card
71,2022-08-04,9327.56,Living Expenses,Credit Card
72,2023-08-15,1595.82,Transportation,Mobile Payment
73,2023-01-24,7810.06,Clothing,Debit Card
74,2022-05-22,9241.55,Clothing,Debit Card
75,2022-05-30,5799.47,Groceries,Credit Card
76,2022-01-23,6744.54,Medical,Debit Card
77,2023-08-12,7944.48,Utilities,Debit Card
78,2022-09-26,6501.35,Dine Out,Debit Card
79,2023-01-21,1746.05,Groceries,Mobile Payment
80,2022-07-06,2089.44,Clothing,Mobile Payment
81,2023-07-20,9101.49,Dine Out,Credit Card
82,2023-06-03,1857.3,Utilities,Credit Card
83,2023-04-11,3777.69,Entertainment,Debit Card
84,2023-06-14,855.74,Entertainment,Cash
85,2022-10-02,3077.41,Charity,Cash
86,2023-11-26,3645.59,Charity,Debit Card
87,2022-09-21,291.23,Charity,Mobile Payment
88,2022-07-09,584.86,Medical,Credit Card
89,2023-06-19,8268.29,Utilities,Cash
90,2023-01-06,6905.85,Entertainment,Credit Card
91,2023-07-07,842.58,Utilities,Credit Card
92,2023-11-05,6921.91,Utilities,Cash
93,2022-12-18,2596.85,Groceries,Debit Card
94,2022-07-04,9526.39,Utilities,Debit Card
95,2022-08-01,9343.25,Groceries,Mobile Payment
96,2023-11-05,3872.13,Dine Out,Cash
97,2022-06-04,9920.82,Utilities,Cash
98,2022-12-21,3358.61,Living Expenses,Debit Card
99,2023-02-20,8794.19,Charity,Credit Card
100,2022-05-22,3258.0,Clothing,Credit Card
101,2023-12-19,8575.82,Living Expenses,Debit Card
102,2022-03-20,7984.8,Dine Out,Debit Card
103,2022-09-18,4448.33,Groceries,Mobile Payment
104,2022-02-23,5098.7,Clothing,Credit Card
105,2022-01-14,6090.12,Entertainment,Debit Card
106,2023-07-26,504.19,Groceries,Mobile Payment
107,2022-09-13,8571.61,Groceries,Credit Card
108,2023-10-08,1292.18,Clothing,Debit Card
109,2022-10-29,4434.31,Clothing,Credit Card
110,2023-01-05,9718.24,Transportation,Debit Card
111,2022-03-28,4135.56,Charity,Cash
112,2022-11-19,5146.34,Living Expenses,Cash
113,2023-06-05,5109.71,Clothing,Mobile Payment
114,2023-10-11,5067.62,Medical,Mobile Payment
115,2023-02-10,7387.79,Clothing,Debit Card
116,2023-07-02,3937.65,Groceries,Debit Card
117,2023-07-05,1776.01,Charity,Mobile Payment
118,2023-12-20,4070.77,Charity,Debit Card
119,2022-04-04,8783.45,Charity,Mobile Payment
120,2023-04-27,5355.73,Groceries,Cash
121,2023-06-06,1320.32,Medical,Mobile Payment
122,2022-03-23,897.83,Living Expenses,Debit Card
123,2023-07-05,1096.72,Charity,Debit Card
124,2023-05-17,5345.11,Entertainment,Mobile Payment
125,2022-07-16,6102.88,Living Expenses,Mobile Payment
126,2023-08-22,4893.53,Entertainment,Credit Card
127,2023-04-15,3798.75,Medical,Credit Card
128,2022-08-18,463.21,Groceries,Credit Card
129,2022-05-26,5168.68,Transportation,Cash
130,2023-11-20,8008.66,Transportation,Mobile Payment
131,2023-12-13,3188.53,Living Expenses,Credit Card
132,2023-05-05,1054.4,Entertainment,Cash
133,2023-06-05,4751.03,Transportation,Mobile Payment
134,2022-08-03,1440.83,Charity,Cash
135,2022-12-14,7014.07,Dine Out,Debit Card
136,2022-03-06,1763.39,Groceries,Debit Card
137,2023-06-14,5478.12,Living Expenses,Mobile Payment
138,2023-09-12,1126.73,Medical,Mobile Payment
139,2022-04-27,2958.65,Living Expenses,Credit Card
140,2023-08-29,785.19,Clothing,Credit Card
141,2022-07-24,401.59,Utilities,Debit Card
142,2022-04-10,6372.09,Living Expenses,Mobile Payment
143,2023-09-27,4225.94,Entertainment,Debit Card
144,2022-09-29,2371.3,Groceries,Cash
145,2022-09-27,6885.76,Charity,Debit Card
146,2022-05-18,7535.34,Clothing,Cash
147,2022-12-03,4813.9,Utilities,Cash
148,2022-01-16,5200.47,Medical,Mobile Payment
149,2022-03-09,1199.14,Groceries,Mobile Payment
150,2022-01-07,4388.37,Clothing,Debit Card
151,2023-07-21,5505.4,Entertainment,Debit Card
152,2023-06-25,3127.38,Groceries,Mobile Payment
153,2022-09-01,2354.75,Utilities,Cash
154,2023-01-30,1043.68,Dine Out,Debit Card
155,2022-02-15,5609.05,Charity,Mobile Payment
156,2022-07-27,2728.81,Clothing,Cash
157,2022-12-18,4198.39,Transportation,Debit Card
158,2022-06-21,8588.17,Dine Out,Cash
159,2023-06-22,3779.86,Dine Out,Cash
160,2022-02-09,9064.02,Living Expenses,Mobile Payment
161,2023-10-01,5899.85,Medical,Credit Card
162,2023-02-07,9761.41,Clothing,Mobile Payment
163,2022-12-17,6002.69,Utilities,Debit Card
164,2023-12-16,1144.7,Living Expenses,Debit Card
165,2023-09-26,9985.04,Entertainment,Credit Card
166,2022-09-18,7925.45,Charity,Debit Card
167,2022-06-18,7688.14,Living Expenses,Cash
168,2023-02-22,8029.4,Dine Out,Debit Card
169,2023-12-27,4609.51,Utilities,Credit Card
170,2023-06-16,3404.58,Living Expenses,Cash
171,2022-05-23,1600.1,Medical,Cash
172,2023-09-30,3402.54,Living Expenses,Credit Card
173,2022-07-02,6086.72,Entertainment,Credit Card
174,2022-01-15,5386.39,Clothing,Debit Card
175,2022-01-17,8586.06,Groceries,Mobile Payment
176,2023-03-26,91.18,Transportation,Credit Card
177,2023-12-04,998.52,Transportation,Credit Card
178,2023-07-08,3645.19,Charity,Credit Card
179,2022-02-05,8915.88,Clothing,Cash
180,2022-12-07,9679.78,Dine Out,Mobile Payment
181,2022-01-08,6551.04,Charity,Credit Card
182,2022-12-01,8330.18,Transportation,Credit Card
183,2022-07-12,4590.08,Utilities,Mobile Payment
184,2022-05-19,8975.36,Utilities,Credit Card
185,2022-09-11,6097.47,Groceries,Debit Card
186,2023-11-15,4196.98,Dine Out,Cash
187,2023-04-30,6237.77,Dine Out,Mobile Payment
188,2022-05-02,7214.16,Transportation,Credit Card
189,2023-05-28,3212.08,Medical,Debit Card
190,2023-11-19,2900.89,Living Expenses,Credit Card
191,2022-07-19,5708.36,Living Expenses,Cash
192,2022-12-06,2831.8,Living Expenses,Cash
193,2022-01-18,8336.44,Clothing,Debit Card
194,2022-03-28,5165.69,Medical,Cash
195,2022-06-20,276.4,Living Expenses,Debit Card
196,2022-04-08,1659.45,Dine Out,Debit Card
197,2022-11-10,2097.97,Living Expenses,Debit Card
198,2023-11-06,7570.52,Groceries,Cash
199,2023-06-08,5275.39,Dine Out,Mobile Payment
200,2023-10-15,8901.56,Groceries,Mobile Payment
201,2022-03-05,2671.78,Utilities,Cash
202,2023-01-31,207.54,Medical,Debit Card
203,2022-11-02,6309.71,Groceries,Credit Card
204,2023-05-20,2308.14,Living Expenses,Debit Card
205,2022-09-03,8602.43,Dine Out,Credit Card
206,2022-01-15,3721.46,Utilities,Mobile Payment
207,2023-12-29,1744.85,Entertainment,Cash
208,2022-07-12,1474.52,Dine Out,Debit Card
209,2023-11-08,7242.78,Dine Out,Cash
210,2022-10-27,1475.35,Transportation,Debit Card
211,2022-06-29,798.12,Charity,Cash
212,2023-06-28,6977.45,Living Expenses,Cash
213,2022-12-26,7053.49,Transportation,Cash
214,2023-01-03,9702.13,Entertainment,Debit Card
215,2023-07-06,9059.51,Medical,Mobile Payment
216,2022-04-19,7299.72,Utilities,Debit Card
217,2023-11-27,8348.81,Transportation,Credit Card
218,2023-11-13,1079.07,Medical,Mobile Payment
219,2022-03-03,3707.79,Clothing,Mobile Payment
220,2023-09-18,4175.04,Charity,Cash
221,2022-12-10,2515.91,Medical,Mobile Payment
222,2023-03-11,4000.19,Medical,Debit Card
223,2023-04-29,5253.23,Living Expenses,Cash
224,2022-02-05,6015.16,Medical,Debit Card
225,2022-06-14,9766.95,Entertainment,Mobile Payment
226,2023-05-21,4045.22,Dine Out,Mobile Payment
227,2022-07-10,9.16,Transportation,Credit Card
228,2023-01-29,9013.55,Medical,Debit Card
229,2022-06-17,7502.87,Clothing,Credit Card
230,2022-01-30,4050.5,Groceries,Mobile Payment
231,2022-05-15,7626.63,Entertainment,Credit Card
232,2022-01-28,5355.96,Medical,Credit Card
233,2023-04-13,9162.81,Groceries,Mobile Payment
234,2023-03-22,8237.11,Clothing,Credit Card
235,2023-12-26,8925.87,Entertainment,Mobile Payment
236,2022-07-25,1712.54,Entertainment,Credit Card
237,2023-07-18,5939.49,Living Expenses,Debit Card
238,2023-03-31,8873.25,Transportation,Cash
239,2023-01-08,8982.01,Medical,Mobile Payment
240,2023-09-23,5243.62,Charity,Credit Card
241,2023-12-19,1650.73,Utilities,Mobile Payment
242,2023-07-25,5124.59,Clothing,Mobile Payment
243,2023-07-09,8479.93,Charity,Debit Card
244,2023-06-19,9652.46,Groceries,Credit Card
245,2022-04-08,1251.92,Clothing,Credit Card
246,2023-10-20,6114.44,Charity,Credit Card
247,2022-06-15,7222.88,Clothing,Mobile Payment
248,2022-08-05,1679.83,Medical,Cash
