income_id,date,amount,category,payment_method
1,2023-01-18,5000.15,Secondary,Bank Transfer
2,2023-09-24,305.55,Primary,Online
3,2022-07-18,1090.91,Primary,Online
4,2022-01-05,5182.12,Passive,Online
5,2022-07-12,8477.92,Passive,Online
6,2022-08-23,9527.19,Primary,Bank Transfer
7,2023-06-14,9501.52,Passive,Online
8,2023-01-17,5046.71,Primary,Bank Transfer
9,2022-07-06,2899.94,Primary,Online
10,2022-03-15,6783.16,Passive,Bank Transfer
11,2022-09-25,3685.37,Passive,Bank Transfer
12,2023-09-06,6180.93,Primary,Online
13,2023-08-26,1867.04,Secondary,Online
14,2023-07-27,5688.35,Secondary,Online
15,2022-07-04,9329.36,Passive,Bank Transfer
16,2023-11-10,746.45,Secondary,Online
17,2022-08-22,1246.1,Secondary,Online
18,2022-09-16,2977.72,Secondary,Online
19,2022-08-25,1142.39,Passive,Online
20,2023-11-06,8538.91,Primary,Online
21,2023-06-12,3621.23,Primary,Online
22,2023-01-28,5139.89,Passive,Bank Transfer
23,2023-04-23,1150.98,Primary,Online
24,2023-10-27,5649.72,Secondary,Bank Transfer
25,2022-09-03,6040.21,Passive,Bank Transfer
26,2023-07-24,1172.21,Primary,Online
27,2022-09-04,5718.18,Primary,Online
28,2023-03-15,4740.93,Secondary,Online
29,2023-06-29,4294.3,Passive,Bank Transfer
30,2023-04-26,7662.94,Passive,Bank Transfer
31,2023-12-25,2280.25,Secondary,Bank Transfer
32,2022-10-27,8113.69,Secondary,Bank Transfer
33,2022-05-09,5166.31,Passive,Bank Transfer
34,2023-02-04,8732.7,Passive,Bank Transfer
35,2023-09-14,2921.88,Passive,Bank Transfer
36,2023-12-16,7044.42,Passive,Bank Transfer
37,2023-05-01,1870.26,Primary,Online
38,2023-05-11,8855.89,Passive,Online
39,2022-05-18,8306.24,Passive,Online
40,2022-06-25,9733.84,Passive,Bank Transfer
41,2023-03-17,3344.06,Passive,Online
42,2022-04-05,933.93,Primary,Bank Transfer
43,2023-02-03,1151.36,Primary,Bank Transfer
44,2022-09-06,8442.45,Secondary,Bank Transfer
45,2023-02-24,2790.11,Primary,Online
46,2022-11-18,6329.16,Primary,Online
47,2022-05-04,2314.77,Secondary,Online
48,2023-04-30,3344.96,Primary,Online
49,2022-07-24,4811.65,Passive,Online
50,2022-05-10,8351.92,Passive,Bank Transfer
51,2023-05-04,5723.65,Passive,Online
52,2022-11-01,6947.69,Primary,Bank Transfer
53,2023-09-06,6141.69,Secondary,Bank Transfer
54,2023-07-05,2395.26,Secondary,Online
55,2022-01-23,9686.7,Secondary,Online
56,2023-07-14,1355.3,Primary,Online
57,2023-12-10,9088.73,Primary,Bank Transfer
58,2022-10-10,335.06,Passive,Online
59,2023-05-29,8274.11,Passive,Online
60,2023-01-13,2316.47,Passive,Online
61,2023-10-24,6810.23,Passive,Bank Transfer
62,2023-02-02,4180.14,Passive,Bank Transfer
63,2023-08-06,870.71,Passive,Bank Transfer
64,2022-06-29,1433.27,Secondary,Bank Transfer
65,2022-09-04,9078.54,Secondary,Bank Transfer
66,2023-08-31,7288.42,Secondary,Bank Transfer
67,2022-02-13,7371.96,Secondary,Bank Transfer
68,2022-10-17,1795.98,Passive,Bank Transfer
69,2022-01-01,6279.39,Primary,Bank Transfer
70,2022-05-31,7089.0,Passive,Online
71,2023-04-22,9218.06,Passive,Bank Transfer
72,2023-09-03,7501.74,Secondary,Bank Transfer
73,2022-10-30,8238.52,Secondary,Bank Transfer
