Directorate,Type of Expenditure,Supplier,£
Childrens' & Cultural Services,16+ Education Provis,Richmond upon Thames College,"2,077,949.94"
Finance & Corporate Services,Serco Contract,Serco Limited,"459,233.12"
Childrens' & Cultural Services,PFI Pymnts to Cntr,Richmond Upon Thames Schools,"290,177.19"
Childrens' & Cultural Services,PFI Pymnts to Cntr,Richmond Upon Thames Schools,"290,151.89"
Adult & Community Services,Residential Care,Care Uk Community Partnerships Ltd,"253,798.33"
Environment,Street Cleansing,Veolia ES (UK) Limited,"241,423.82"
Environment,Street Cleansing,Veolia ES (UK) Limited,"227,766.97"
Environment,Waste Contract,Veolia ES (UK) Limited,"183,383.48"
Environment,Waste Contract,Veolia ES (UK) Limited,"173,254.00"
Environment,Waste Contract,Veolia ES (UK) Limited,"173,254.00"
Adult & Community Services,Nursing Care,Care Uk Community Partnerships Ltd,"158,064.67"
Environment,Waste Contract,Veolia ES (UK) Limited,"157,296.08"
Childrens' & Cultural Services,CSC Grnt fnding serv,Royal Borough Of Kingston,"147,782.00"
Childrens' & Cultural Services,16+ Education Provis,Richmond upon Thames College,"130,524.06"
Childrens' & Cultural Services,Other Local Authorit,Royal Borough Of Kingston,"128,637.50"
Environment,Grounds Maintenance,Veolia ES (UK) Limited,"116,896.96"
Environment,Waste Contract,Veolia ES (UK) Limited,"111,551.99"
Environment,Rents Payable,CB Richard Ellis Ltd,"87,500.00"
Childrens' & Cultural Services,Brought Professional,Richmond Music Trust,"77,196.00"
Finance & Corporate Services,Serco Chargeable Wor,Serco Limited,"73,961.38"
Adult & Community Services,Residential Care,Richmond Homes For Life Trust,"69,152.50"
Childrens' & Cultural Services,Software Licences,London Grid For Learning,"68,000.00"
Adult & Community Services,Day Care,Richmond Borough Association,"54,499.00"
Adult & Community Services,Contract for Joint,Medequip Assistive Technology Ltd.,"53,282.69"
Finance & Corporate Services,Serco Change Control,Serco Limited,"52,816.50"
Environment,Rents Payable,Salaft Properties Ltd,"52,000.00"
Adult & Community Services,Residential Care,Richmond Homes For Life Trust,"51,611.26"
Environment,Street Cleansing,Veolia ES (UK) Limited,"50,094.63"
Finance & Corporate Services,Serco Contract-items,Serco Limited,"49,633.71"
Childrens' & Cultural Services,Payments to Health,South West London & St. Georges,"40,557.17"
Adult & Community Services,Miscellaneous Expens,Richmond Users Independent,"37,500.00"
Adult & Community Services,Grants Comm Groups,Richmond Borough Association,"31,480.00"
Childrens' & Cultural Services,Brought Professional,Richmond Music Trust,"31,000.00"
Environment,Street Lighting 1,David Webster Limited,"28,200.14"
Adult & Community Services,Home Care,Goldsborough Home Care,"27,817.85"
Adult & Community Services,Grants Volunt Orgs,Richmond Borough Association,"26,841.00"
Environment,Purchase-Diesel Fuel,Petroplus Refining Teesside Ltd,"25,431.56"
Adult & Community Services,Grants Volunt Orgs,Richmond Council For,"25,425.00"
Childrens' & Cultural Services,Software Licences,London Grid For Learning,"24,750.00"
Adult & Community Services,Residential Care,The White House,"24,332.52"
Childrens' & Cultural Services,CSC Grnt fnding serv,Springhealth Leisure Plc,"23,207.00"
Environment,Waste Contract,Veolia ES (UK) Limited,"23,069.00"
Environment,Waste Contract,Veolia ES (UK) Limited,"23,069.00"
Childrens' & Cultural Services,Independent Schools,Pield Heath House RCSchool,"22,690.88"
Childrens' & Cultural Services,16+ Education Provis,Richmond Adult Community College,"22,282.52"
Adult & Community Services,Residential Care,Care Uk Community Partnerships Ltd,"22,012.57"
Environment,Street Lighting 2,David Webster Limited,"21,988.48"
Environment,Grounds Maint-Play,VOLKERHIGHWAYS LTD,"20,100.79"
Childrens' & Cultural Services,Comms Data Lines,Virgin Media Payments Ltd T/A,"19,808.76"
Childrens' & Cultural Services,Pools on the Park,Springhealth Leisure Plc,"19,759.87"
Childrens' & Cultural Services,Pools on the Park,Springhealth Leisure Plc,"19,759.87"
Childrens' & Cultural Services,Other Local Authorit,L.B.BRENT - Services to Schools,"18,911.56"
Environment,Security,BT Redcare,"18,827.00"
Childrens' & Cultural Services,Other Local Authorit,Central Bedfordshire Council,"18,731.79"
Adult & Community Services,Grants Comm Groups,Richmond Borough Association,"18,583.00"
Environment,Grounds Maintenance,Veolia ES (UK) Limited,"18,548.98"
Adult & Community Services,Rents Payable,Burgess Properties,"18,476.00"
Adult & Community Services,Day Care,Imagine,"17,789.26"
Adult & Community Services,Day Care,Imagine,"17,789.26"
Environment,Cleaning Contract,Wetton Cleaning Services Ltd,"17,612.66"
Childrens' & Cultural Services,NVQ assessment,Troy Solutions Limited,"17,514.69"
Childrens' & Cultural Services,Grants Volunt Orgs,Richmond Council For,"17,500.00"
Adult & Community Services,Residential Care,Care Principles,"16,739.38"
Environment,Waste Contract,Veolia ES (UK) Limited,"16,585.00"
Environment,Waste Contract,Veolia ES (UK) Limited,"16,585.00"
Finance & Corporate Services,Central Telephones,DVO2 Telecom Ltd,"16,351.49"
Environment,Waste Contract,Veolia ES (UK) Limited,"16,323.00"
Environment,Waste Contract,Veolia ES (UK) Limited,"16,323.00"
Adult & Community Services,Residential Care,Care Principles,"16,199.40"
Environment,Software Development,Pitney Bowes Mapinfo Limited,"16,042.49"
Environment,Energy - Electricity,Kent County Council(Kcs),"15,850.91"
Adult & Community Services,Residential Care,St Mary's House,"15,685.71"
Finance & Corporate Services,Employee Training Ex,Azzur Limited,"15,620.18"
Childrens' & Cultural Services,Brought Professional,Richmond & Twickenham PCT Provider,"15,534.00"
Environment,Software Development,Pitney Bowes Mapinfo Limited,"15,435.58"
Environment,Rents Payable,Savills Commercial Ltd,"15,190.00"
Environment,Cleaning Contract,Wetton Cleaning Services Ltd,"14,619.38"
Finance & Corporate Services,Staff Advertising,JobsGoPublic,"14,500.00"
Adult & Community Services,Intermediate Care,Care Uk Community Partnerships Ltd,"14,055.97"
Adult & Community Services,Respite Care,Care Uk Community Partnerships Ltd,"13,885.37"
Childrens' & Cultural Services,Brought Professional,Richmond & Twickenham PCT Provider,"13,834.00"
Adult & Community Services,Residential Care,Independence Homes Ltd,"13,751.91"
Adult & Community Services,External Consultants,JGT Solutions,"13,500.00"
